"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/02/2018","AQS","390350051","1","1.1","ppm","13","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/03/2018","AQS","390350051","1","1.7","ppm","19","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/04/2018","AQS","390350051","1","1.6","ppm","18","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/05/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/06/2018","AQS","390350051","1","0.3","ppm","3","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/07/2018","AQS","390350051","1","0.7","ppm","8","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/08/2018","AQS","390350051","1","0.6","ppm","7","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/09/2018","AQS","390350051","1","0.8","ppm","9","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/10/2018","AQS","390350051","1","0.4","ppm","5","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/11/2018","AQS","390350051","1","1.2","ppm","14","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/12/2018","AQS","390350051","1","1.1","ppm","13","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/13/2018","AQS","390350051","1","0.8","ppm","9","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/14/2018","AQS","390350051","1","1.3","ppm","15","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/15/2018","AQS","390350051","1","1.6","ppm","18","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
"05/16/2018","AQS","390350051","1","1.8","ppm","20","Galleria","24","100.0000","42101","Carbon monoxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.504605","-81.69045"
