"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/10/2018","AQS","390350060","1","42","ppb","40","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/11/2018","AQS","390350060","1","41","ppb","39","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/12/2018","AQS","390350060","1","31","ppb","29","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/13/2018","AQS","390350060","1","31","ppb","29","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/14/2018","AQS","390350060","1","13","ppb","12","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/15/2018","AQS","390350060","1","31","ppb","29","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/16/2018","AQS","390350060","1","9","ppb","8","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/17/2018","AQS","390350060","1","10","ppb","9","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/18/2018","AQS","390350060","1","20","ppb","19","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/19/2018","AQS","390350060","1","14","ppb","13","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/20/2018","AQS","390350060","1","26","ppb","25","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/21/2018","AQS","390350060","1","36","ppb","34","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/22/2018","AQS","390350060","1","43","ppb","41","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/23/2018","AQS","390350060","1","49","ppb","46","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/24/2018","AQS","390350060","1","12","ppb","11","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/25/2018","AQS","390350060","1","34","ppb","32","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/26/2018","AQS","390350060","1","31","ppb","29","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/27/2018","AQS","390350060","1","38","ppb","36","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/28/2018","AQS","390350060","1","6","ppb","6","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/29/2018","AQS","390350060","1","30","ppb","28","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"04/30/2018","AQS","390350060","1","54","ppb","51","GT Craig NCore","20","83.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/01/2018","AQS","390350060","1","48","ppb","45","GT Craig NCore","21","88.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/02/2018","AQS","390350060","1","9","ppb","8","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/03/2018","AQS","390350060","1","23","ppb","22","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/04/2018","AQS","390350060","1","11","ppb","10","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/05/2018","AQS","390350060","1","28","ppb","26","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/06/2018","AQS","390350060","1","15","ppb","14","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/07/2018","AQS","390350060","1","24","ppb","23","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/08/2018","AQS","390350060","1","40","ppb","38","GT Craig NCore","19","79.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/09/2018","AQS","390350060","1","40","ppb","38","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
"05/10/2018","AQS","390350060","1","12","ppb","11","GT Craig NCore","23","96.0000","42602","Nitrogen dioxide (NO2)","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.492117","-81.678449"
