"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/24/2019","AQS","390350038","2","4","ppb","6","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/25/2019","AQS","390350038","2","1","ppb","1","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/26/2019","AQS","390350038","2","1","ppb","1","St Theodosius","23","96.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/27/2019","AQS","390350038","2","16","ppb","23","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/28/2019","AQS","390350038","2","4","ppb","6","St Theodosius","19","79.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/29/2019","AQS","390350038","2","0","ppb","0","St Theodosius","23","96.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/30/2019","AQS","390350038","2","0","ppb","0","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"03/31/2019","AQS","390350038","2","1","ppb","1","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/01/2019","AQS","390350038","2","1","ppb","1","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/02/2019","AQS","390350038","2","14","ppb","20","St Theodosius","23","96.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/03/2019","AQS","390350038","2","0","ppb","0","St Theodosius","22","92.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/04/2019","AQS","390350038","2","3","ppb","4","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
"04/05/2019","AQS","390350038","2","5","ppb","7","St Theodosius","24","100.0000","42401","Sulfur dioxide","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.477011","-81.682383"
