,high_temp,low_temp,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,pct_change_aqi,average_daily_temp,month,weekday
2017-05-25,63,59,0.3,3.0,22.0,21.0,0.029,27.0,8.0,7.0,4.9,20.0,0.0,0.0,27.0,-0.2894736842105263,61.0,5,3
2017-05-26,70,58,0.3,3.0,31.0,29.0,0.037,34.0,11.0,10.0,5.2,22.0,0.0,0.0,34.0,0.2592592592592593,64.0,5,4
2017-05-27,73,59,0.4,5.0,24.0,23.0,0.039,36.0,12.0,11.0,10.1,42.0,0.0,0.0,42.0,0.23529411764705888,66.0,5,5
2017-05-28,81,59,0.4,5.0,14.0,13.0,0.039,36.0,23.0,21.0,12.3,51.0,10.0,14.0,51.0,0.2142857142857142,70.0,5,6
2017-05-29,82,60,0.3,3.0,14.0,13.0,0.047,44.0,16.0,15.0,6.8,28.0,8.0,11.0,44.0,-0.13725490196078427,71.0,5,0
2017-05-30,79,58,0.3,3.0,20.0,19.0,0.044,41.0,27.0,25.0,4.7,20.0,6.0,9.0,41.0,-0.06818181818181823,68.5,5,1
2017-05-31,78,56,0.3,3.0,36.0,34.0,0.047,44.0,40.0,37.0,8.3,35.0,12.0,17.0,44.0,0.07317073170731714,67.0,5,2
2017-06-01,73,53,0.3,3.0,39.0,37.0,0.042,39.0,27.0,25.0,6.5,27.0,10.0,14.0,39.0,-0.11363636363636365,63.0,6,3
2017-06-02,80,52,0.5,6.0,38.0,36.0,0.041,38.0,44.0,41.0,14.7,56.0,10.0,14.0,56.0,0.4358974358974359,66.0,6,4
2017-06-03,82,56,0.3,3.0,18.0,17.0,0.045,42.0,29.0,27.0,11.8,49.0,1.0,1.0,49.0,-0.125,69.0,6,5
2017-06-04,88,69,0.4,5.0,33.0,31.0,0.051,47.0,29.0,27.0,13.4,54.0,11.0,16.0,54.0,0.1020408163265305,78.5,6,6
2017-06-05,71,59,0.2,2.0,11.0,10.0,0.042,39.0,12.0,11.0,6.1,25.0,0.0,0.0,39.0,-0.2777777777777778,65.0,6,0
2017-06-06,68,52,0.2,2.0,10.0,9.0,0.03,28.0,10.0,9.0,5.0,21.0,0.0,0.0,28.0,-0.28205128205128205,60.0,6,1
