"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/06/2017","AQS","390350042","1","0.008","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"02/12/2017","AQS","390350042","1","0.006","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"02/18/2017","AQS","390350042","1","0.013","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"02/24/2017","AQS","390350042","1","0.013","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"03/02/2017","AQS","390350042","1","0.005","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"03/08/2017","AQS","390350042","1","0.007","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"03/14/2017","AQS","390350042","1","0.004","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"03/20/2017","AQS","390350042","1","0.009","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"03/26/2017","AQS","390350042","1","0.01","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
"04/01/2017","AQS","390350042","1","0.005","ug/m3 LC",".","Cleveland Fire St4","1","100.0000","14129","Lead (TSP) LC","17460","Cleveland-Elyria, OH","39","Ohio","035","Cuyahoga","41.4823","-81.708906"
